feature,feature_display,neutral_normalized,general_normalized,popular_normalized,engaging_normalized,informative_normalized,controversial_normalized
polarization_score,Content: Polarization Score,0.9018235454746162,-0.8933396454763729,-1.6396451786499706,0.20253675864524867,0.1491940818346144,1.2794304381718644
primary_topic,Content: Primary Topic,0.7935075788579228,-0.9223555662790144,-1.5299763075485866,-0.2747891473447305,0.624871871850193,1.3087415704642154
toxicity,Toxicity: Toxicity,0.2112793058802631,-0.761756726169312,0.4798393529313354,1.6419588025076062,-1.5648550816653308,-0.0064656534845615385
author_political_leaning,Author: Political Leaning,0.762865147643683,-0.7261689194709635,-1.5894642742598892,-0.32112457549397083,0.4342232179441508,1.4396694036369884
sentiment_polarity,Sentiment: Polarity,-0.45528198407585224,1.016523978482062,0.6321662276480334,-1.3128257560054566,1.2062517093526945,-1.0868341754014803
avg_word_length,Text: Avg Word Length,0.10593506115020083,-0.27683588692648065,-1.4058123958565607,-0.6975219198268908,1.794088496350092,0.48014664510963984
sentiment_subjectivity,Sentiment: Subjectivity,0.25909823634754986,-0.3323866293382836,0.9228293286479649,1.0776820339157065,-1.9516095893637018,0.024386619790763977
has_url,Style: Has URL,-0.5959210082901577,0.32261862134415215,-0.5139126609504362,-0.6395650443724111,2.1007967983388474,-0.6740167060699943
has_emoji,Style: Has Emoji,-0.21079679813001953,-1.7068493669737268,0.48509925936379383,-0.653578705619443,1.3622676766483484,0.7238579347110478
author_is_minority,Author: Is Minority,0.380065601233184,-1.4769400288150754,-0.9824606232132992,-0.14311645236054726,1.442014016939906,0.7804374862158314
author_gender,Author: Gender,-1.4346901504390903,0.4926290525310022,-0.4508259189947673,-0.8938411156164136,1.3461226216944924,0.9406055108247783
has_hashtag,Style: Has Hashtag,0.6342416306888348,-0.4600346898171391,-0.8205082002631154,1.8299292995301122,-0.015731117447273773,-1.167896922691422
has_mention,Style: Has Mention,0.43662480452706215,-0.8699141593990426,0.49750711397067743,-1.4542939421433771,-0.23339285351567635,1.6234690365603572
